title,link,original,sale,discount,currency,date,time
florence,https://store.steampowered.com/app/1102130/Florence/?snr=1_7_7_2300_150_4,5.99,4.49,25,USD,2020-04-25,14:50:21.811049
mo:astray,https://store.steampowered.com/app/1104660/MOAstray/?snr=1_7_7_2300_150_4,14.99,11.99,20,USD,2020-04-25,14:50:21.811049
broken lines,https://store.steampowered.com/app/926580/Broken_Lines/?snr=1_7_7_2300_150_4,24.99,19.99,20,USD,2020-04-25,14:50:21.812049
the suicide of rachel foster,https://store.steampowered.com/app/1057750/The_Suicide_of_Rachel_Foster/?snr=1_7_7_2300_150_4,17.99,12.05,33,USD,2020-04-25,14:50:21.812049
still there,https://store.steampowered.com/app/1063490/Still_There/?snr=1_7_7_2300_150_4,14.99,9.74,35,USD,2020-04-25,14:50:21.813047
moon hunters,https://store.steampowered.com/app/320040/Moon_Hunters/?snr=1_7_7_2300_150_5,14.99,2.24,85,USD,2020-04-25,14:50:23.245303
verdun,https://store.steampowered.com/app/242860/Verdun/?snr=1_7_7_2300_150_5,19.99,8.99,55,USD,2020-04-25,14:50:23.245303
kind words (lo fi chill beats to write to),https://store.steampowered.com/app/1070710/Kind_Words_lo_fi_chill_beats_to_write_to/?snr=1_7_7_2300_150_5,4.99,3.99,20,USD,2020-04-25,14:50:23.246302
blackguards,https://store.steampowered.com/app/249650/Blackguards/?snr=1_7_7_2300_150_5,9.99,0.99,90,USD,2020-04-25,14:50:23.246302
state of mind,https://store.steampowered.com/app/437630/State_of_Mind/?snr=1_7_7_2300_150_5,29.99,4.49,85,USD,2020-04-25,14:50:23.246302
astrox imperium,https://store.steampowered.com/app/954870/Astrox_Imperium/?snr=1_7_7_2300_150_5,14.99,8.99,40,USD,2020-04-25,14:50:23.247301
hyperdimension neptunia u: action unleashed,https://store.steampowered.com/app/387340/Hyperdimension_Neptunia_U_Action_Unleashed/?snr=1_7_7_2300_150_5,14.99,5.24,65,USD,2020-04-25,14:50:23.247301
aer memories of old,https://store.steampowered.com/app/331870/AER_Memories_of_Old/?snr=1_7_7_2300_150_5,14.99,2.99,80,USD,2020-04-25,14:50:23.248300
unforeseen incidents,https://store.steampowered.com/app/501790/Unforeseen_Incidents/?snr=1_7_7_2300_150_5,19.99,13.39,33,USD,2020-04-25,14:50:23.248300
deponia: the complete journey,https://store.steampowered.com/app/292910/Deponia_The_Complete_Journey/?snr=1_7_7_2300_150_5,29.99,2.99,90,USD,2020-04-25,14:50:23.249300
orwell: keeping an eye on you,https://store.steampowered.com/app/491950/Orwell_Keeping_an_Eye_On_You/?snr=1_7_7_2300_150_5,9.99,2.49,75,USD,2020-04-25,14:50:23.249300
my island,https://store.steampowered.com/app/1004270/My_Island/?snr=1_7_7_2300_150_5,14.99,6.74,55,USD,2020-04-25,14:50:23.250299
gris,https://store.steampowered.com/app/683320/GRIS/?snr=1_7_7_2300_150_5,16.99,8.49,50,USD,2020-04-25,14:50:23.250299
megatagmension blanc + neptune vs zombies (neptunia),https://store.steampowered.com/app/496810/MegaTagmension_Blanc__Neptune_VS_Zombies_Neptunia/?snr=1_7_7_2300_150_5,14.99,5.24,65,USD,2020-04-25,14:50:23.251299
synth riders,https://store.steampowered.com/app/885000/Synth_Riders/?snr=1_7_7_2300_150_5,19.99,14.99,25,USD,2020-04-25,14:50:23.251299
little big workshop,https://store.steampowered.com/app/574720/Little_Big_Workshop/?snr=1_7_7_2300_150_5,19.99,14.99,25,USD,2020-04-25,14:50:23.252298
the stillness of the wind,https://store.steampowered.com/app/828900/The_Stillness_of_the_Wind/?snr=1_7_7_2300_150_5,12.99,4.54,65,USD,2020-04-25,14:50:23.252298
beholder,https://store.steampowered.com/app/475550/Beholder/?snr=1_7_7_2300_150_5,9.99,1.49,85,USD,2020-04-25,14:50:23.253298
her story,https://store.steampowered.com/app/368370/Her_Story/?snr=1_7_7_2300_150_5,9.99,4.99,50,USD,2020-04-25,14:50:23.253298
urtuk: the desolation,https://store.steampowered.com/app/1181830/Urtuk_The_Desolation/?snr=1_7_7_2300_150_5,19.99,15.99,20,USD,2020-04-25,14:50:23.254297
the long journey home,https://store.steampowered.com/app/366910/The_Long_Journey_Home/?snr=1_7_7_2300_150_5,29.99,2.99,90,USD,2020-04-25,14:50:23.254297
elsinore,https://store.steampowered.com/app/512890/Elsinore/?snr=1_7_7_2300_150_5,19.99,11.99,40,USD,2020-04-25,14:50:23.255297
nine parchments,https://store.steampowered.com/app/471550/Nine_Parchments/?snr=1_7_7_2300_150_5,19.99,4.99,75,USD,2020-04-25,14:50:23.255297
my lovely daughter,https://store.steampowered.com/app/580170/My_Lovely_Daughter/?snr=1_7_7_2300_150_5,14.99,5.99,60,USD,2020-04-25,14:50:23.256295
x-com: terror from the deep,https://store.steampowered.com/app/7650/XCOM_Terror_From_the_Deep/?snr=1_7_7_2300_150_5,4.99,1.24,75,USD,2020-04-25,14:50:23.256295
the bureau: xcom declassified,https://store.steampowered.com/app/65930/The_Bureau_XCOM_Declassified/?snr=1_7_7_2300_150_6,19.99,3.99,80,USD,2020-04-25,14:50:25.388420
yuppie psycho,https://store.steampowered.com/app/597760/Yuppie_Psycho/?snr=1_7_7_2300_150_6,16.66,12.49,25,USD,2020-04-25,14:50:25.389420
trine 2: complete story,https://store.steampowered.com/app/35720/Trine_2_Complete_Story/?snr=1_7_7_2300_150_6,19.99,4.99,75,USD,2020-04-25,14:50:25.390429
